label,message
ham,"Hey, are we still meeting for lunch today?"
ham,"Can you send me the assignment when you are free?"
ham,"Your order has been delivered successfully."
ham,"Don't forget our meeting at 5 PM."
ham,"Happy birthday! Have a great day."
ham,"Please call me when you reach home."
ham,"The project presentation is tomorrow at 10 AM."
ham,"Thanks for your help yesterday."
ham,"Your electricity bill is ready to view."
ham,"Your appointment is confirmed for Monday."
spam,"Congratulations! You have won a free prize. Click now to claim."
spam,"URGENT! Your account has been blocked. Verify immediately."
spam,"You are selected as a lucky winner. Claim your reward now."
spam,"Win ₹50,000 today! Click the link to receive your cash prize."
spam,"Your bank account needs verification. Send your OTP immediately."
spam,"Limited time offer! Get FREE cash by clicking this link."
spam,"Your KYC has expired. Verify your account immediately."
spam,"You have won the lottery! Contact us now to claim your money."
spam,"Your payment failed. Click here immediately to update your bank details."
spam,"Congratulations winner! You have received a cashback reward. Claim now."
spam,"URGENT: Your UPI account is suspended. Verify your details now."
spam,"Get a guaranteed investment return. Send money today."
spam,"Exclusive offer! You are eligible for a huge bonus. Claim immediately."
spam,"Your credit card has been selected for a special reward. Click now."
spam,"Act fast! Your reward expires today. Confirm your details."
